Label,Product Name,Brand,Price,Product Link,Skin Type,Skin Concerns,Image URL,Gender,Age
face-moisturisers,bio morning nectar flawless sustainable skin moisturizer 190ml,biotique,₹ 165,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-moisturizer-190ml/1661465/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661465/2021/8/11/4ada0a5c-81e7-44bc-b9bf-a5c6eddd01901628671309687BiotiqueBioMorningNectarFlawlessSustainableSkinLotion190ml1.jpg",unisex,13+
face-moisturisers,radian-c cream 30 ml,laneige,₹ 2014,https://www.myntra.com/face-moisturisers/laneige/laneige-radian-c-cream-30-ml/15078068/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15078068/2021/9/8/e560d481-d480-454e-98d5-e67adb71c7f91631072663207-LANEIGE-Unisex-Face-Moisturisers-261631072663101-1.jpg",unisex,13+
face-moisturisers,bio morning nectar flawless sustainable skin lotion 120ml,biotique,₹ 117,https://www.myntra.com/face-moisturisers/biotique/biotique-bio-morning-nectar-flawless-sustainable-skin-lotion-120ml/1661472/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1661472/2021/8/11/a0e94943-abc1-47f8-a3de-442783e87b301628671530500BiotiqueBioMorningNectarFlawlessSustainableSkinLotion120ml1.jpg",unisex,13+
face-moisturisers,vitamin c correcting and brightening treatment face moisturizer 50 g,biotique,₹ 147,https://www.myntra.com/face-moisturisers/biotique/biotique-vitamin-c-correcting-and-brightening-treatment-face-moisturizer-50-g/12679484/buy,normal,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/12679484/2020/10/9/cf03e5f8-7f24-4dda-a7c7-673e764f00e81602217635339-Biotique-Advanced-Organics-Vitamin-C-Correcting-and-Brighten-1.jpg",unisex,13+
face-moisturisers,touch of universe face moisturizer with vitamin e & magnesium -100gms,bewakoof cosmos,₹ 174,https://www.myntra.com/face-moisturisers/bewakoof-cosmos/bewakoof-cosmos-touch-of-universe-face-moisturizer-with-vitamin-e--magnesium--100gms/15360926/buy,normal,redness,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15360926/2021/9/28/36111fdb-e9b4-4de2-8c65-e99f1a4e7a841632812925783-BEWAKOOF-COSMOS-Touch-of-Universe-Face-Moisturizer-with-Vita-1.jpg",unisex,13+
face-moisturisers,total effects 7 in one day cream normal spf 15 - 50g,olay,₹ 629,https://www.myntra.com/face-moisturisers/olay/olay-total-effects-7-in-one-day-cream-normal-spf-15---50g/13509836/buy,all,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/13509836/2021/8/11/57cb5012-4555-4d41-86a4-d2f71463fdd51628671623193OlayTotalEffects7InOneDayCreamNormalSPF15-50g1.jpg",unisex,13+
face-moisturisers,women white glow skin whitening & brightening nourishing night creme 40 g,lotus herbals,₹ 191,https://www.myntra.com/face-moisturisers/lotus-herbals/lotus-herbals-women-white-glow-skin-whitening--brightening-nourishing-night-creme-40-g/11752736/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11752736/2020/9/29/f93ffcd3-bd2b-4dfa-bacf-d1c0f4a4c3a31601377501051-Lotus-Herbals-Women-Face-Moisturisers-8121601377500397-1.jpg",women,13+
face-moisturisers,bye bye blemishes face cream 30ml,mamaearth,₹ 404,https://www.myntra.com/face-moisturisers/mamaearth/mamaearth-bye-bye-blemishes-face-cream-30ml/11081528/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/11081528/2021/8/11/4eb68cbb-57f1-4ef1-8103-02b63e047ea51628659165422MamaearthByeByeBlemishesFaceCream30ml1.jpg",unisex,13+
face-moisturisers,regenerist advanced anti-ageing micro-sculpting cream 50 g,olay,₹ 1189,https://www.myntra.com/face-moisturisers/olay/olay-regenerist-advanced-anti-ageing-micro-sculpting-cream-50-g/10444752/buy,dry,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/10444752/2021/8/11/9f4a5426-229a-4f2a-a740-986ec82bf6211628659283564OlayRegeneristAdvancedAnti-AgeingMicro-SculptingCream50g1.jpg",unisex,13+
face-moisturisers,rapid wrinkle repair night moisturizer - 29 ml,neutrogena,₹ 1250,https://www.myntra.com/face-moisturisers/neutrogena/neutrogena-rapid-wrinkle-repair-night-moisturizer---29-ml/2427948/buy,all,"wrinkles, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/2427948/2021/8/11/9261d148-53b5-46a1-96a5-c7ae7b0f73271628671612293NeutrogenaRapidWrinkleRepairNightMoisturizer-29ml1.jpg",unisex,13+
face-moisturisers,paris white perfect whitening + even tone night cream 50ml,loreal,₹ 412,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-whitening--even-tone-night-cream-50ml/236322/buy,all,"whiteheads, dark spots","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/236322/2021/8/11/bc349239-8864-4895-843a-29aaa708425a1628672978490-LOreal-Paris-White-Perfect-Whitening--Even-Tone-Night-Cream--1.jpg",unisex,13+
face-moisturisers,paris white perfect clinical day anti spot whitening spf 19 pa+++ cream 50ml,loreal,₹ 702,https://www.myntra.com/face-moisturisers/loreal/loreal-paris-white-perfect-clinical-day-anti-spot-whitening-spf-19-pa-cream-50ml/135676/buy,all,dark spots,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/135676/2017/6/21/11498046508542-Loreal-White-Perfect-Laser-Whitening-Cream-5071498046508456-1.jpg",unisex,13+
face-moisturisers,youth restore face cream- 120g,bioayurveda,₹ 100,https://www.myntra.com/face-moisturisers/bioayurveda/bioayurveda-youth-restore-face-cream--120g/15444678/buy,normal,wrinkles,"https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/15444678/2021/9/13/b85d2c1b-1346-4230-8be6-7627268755521631540387298FaceMoisturisers1.jpg",unisex,13+
face-moisturisers,green tea range mattifying sustainable moisturizer 50ml,plum,₹ 413,https://www.myntra.com/face-moisturisers/plum/plum-green-tea-range-mattifying-sustainable-moisturizer-50ml/1460744/buy,oily,"whiteheads, acne","https://assets.myntassets.com/h_720,q_90,w_540/v1/assets/images/1460744/2021/9/25/69197a28-e013-4424-b803-2bb428743e601632536708222PlumGreenTeaMattifyingSustainableMoisturizer50ml1.jpg",unisex,13+
